year,Neighborhood,Priority,Calls
2000,Bayview Hunters Point,2,1199
2000,Bayview Hunters Point,3,8903
2000,Bernal Heights,2,440
2000,Bernal Heights,3,2679
2000,Castro/Upper Market,2,635
2000,Castro/Upper Market,3,3225
2000,Chinatown,2,453
2000,Chinatown,3,2790
2000,Excelsior,2,352
2000,Excelsior,3,2775
2000,Financial District/South Beach,2,1672
2000,Financial District/South Beach,3,11088
2000,Glen Park,2,85
2000,Glen Park,3,553
2000,Golden Gate Park,2,146
2000,Golden Gate Park,3,606
2000,Haight Ashbury,2,373
2000,Haight Ashbury,3,1815
2000,Hayes Valley,2,528
2000,Hayes Valley,3,3400
2000,Inner Richmond,2,296
2000,Inner Richmond,3,1987
2000,Inner Sunset,2,281
2000,Inner Sunset,3,2234
2000,Japantown,2,156
2000,Japantown,3,1254
2000,Lakeshore,2,216
2000,Lakeshore,3,1673
2000,Lincoln Park,2,9
2000,Lincoln Park,3,228
2000,Lone Mountain/USF,2,229
2000,Lone Mountain/USF,3,1946
2000,Marina,2,310
2000,Marina,3,2487
2000,McLaren Park,2,8
2000,McLaren Park,3,96
2000,Mission,2,2488
2000,Mission,3,11973
2000,Mission Bay,2,154
2000,Mission Bay,3,1036
2000,Nob Hill,2,689
2000,Nob Hill,3,4417
2000,Noe Valley,2,224
2000,Noe Valley,3,1760
2000,North Beach,2,454
2000,North Beach,3,2588
2000,Oceanview/Merced/Ingleside,2,336
2000,Oceanview/Merced/Ingleside,3,2207
2000,Outer Mission,2,289
2000,Outer Mission,3,2316
2000,Outer Richmond,2,525
2000,Outer Richmond,3,3593
2000,Pacific Heights,2,357
2000,Pacific Heights,3,2829
2000,Portola,2,206
2000,Portola,3,1296
2000,Potrero Hill,2,325
2000,Potrero Hill,3,2654
2000,Presidio,2,9
2000,Presidio,3,72
2000,Presidio Heights,2,169
2000,Presidio Heights,3,1244
2000,Russian Hill,2,264
2000,Russian Hill,3,2216
2000,Seacliff,2,20
2000,Seacliff,3,194
2000,South of Market,2,2720
2000,South of Market,3,11070
2000,Sunset/Parkside,2,772
2000,Sunset/Parkside,3,5249
2000,Tenderloin,2,4267
2000,Tenderloin,3,15751
2000,Treasure Island,2,108
2000,Treasure Island,3,531
2000,Twin Peaks,2,89
2000,Twin Peaks,3,626
2000,Visitacion Valley,2,357
2000,Visitacion Valley,3,2230
2000,West of Twin Peaks,2,392
2000,West of Twin Peaks,3,2909
2000,Western Addition,2,764
2000,Western Addition,3,5320
2001,Bayview Hunters Point,2,1659
2001,Bayview Hunters Point,3,12525
2001,Bernal Heights,2,616
2001,Bernal Heights,3,3926
2001,Castro/Upper Market,2,979
2001,Castro/Upper Market,3,4014
2001,Chinatown,2,602
2001,Chinatown,3,4195
2001,Excelsior,2,513
2001,Excelsior,3,4139
2001,Financial District/South Beach,2,2125
2001,Financial District/South Beach,3,14326
2001,Glen Park,2,142
2001,Glen Park,3,736
2001,Golden Gate Park,2,176
2001,Golden Gate Park,3,1041
2001,Haight Ashbury,2,456
2001,Haight Ashbury,3,2587
2001,Hayes Valley,2,701
2001,Hayes Valley,3,4379
2001,Inner Richmond,2,481
2001,Inner Richmond,3,2809
2001,Inner Sunset,2,400
2001,Inner Sunset,3,3347
2001,Japantown,2,203
2001,Japantown,3,1799
2001,Lakeshore,2,301
2001,Lakeshore,3,2336
2001,Lincoln Park,2,20
2001,Lincoln Park,3,243
2001,Lone Mountain/USF,2,264
2001,Lone Mountain/USF,3,2289
2001,Marina,2,496
2001,Marina,3,3581
2001,McLaren Park,2,3
2001,McLaren Park,3,167
2001,Mission,2,3463
2001,Mission,3,17414
2001,Mission Bay,2,187
2001,Mission Bay,3,1587
2001,Nob Hill,2,931
2001,Nob Hill,3,5826
2001,Noe Valley,2,289
2001,Noe Valley,3,2398
2001,North Beach,2,569
2001,North Beach,3,3682
2001,Oceanview/Merced/Ingleside,2,401
2001,Oceanview/Merced/Ingleside,3,2987
2001,Outer Mission,2,494
2001,Outer Mission,3,2892
2001,Outer Richmond,2,748
2001,Outer Richmond,3,4857
2001,Pacific Heights,2,421
2001,Pacific Heights,3,4047
2001,Portola,2,273
2001,Portola,3,1920
2001,Potrero Hill,2,444
2001,Potrero Hill,3,4027
2001,Presidio,2,21
2001,Presidio,3,81
2001,Presidio Heights,2,215
2001,Presidio Heights,3,1833
2001,Russian Hill,2,392
2001,Russian Hill,3,2934
2001,Seacliff,2,27
2001,Seacliff,3,295
2001,South of Market,2,3785
2001,South of Market,3,15316
2001,Sunset/Parkside,2,1226
2001,Sunset/Parkside,3,7516
2001,Tenderloin,2,5819
2001,Tenderloin,3,20666
2001,Treasure Island,2,175
2001,Treasure Island,3,1281
2001,Twin Peaks,2,100
2001,Twin Peaks,3,863
2001,Visitacion Valley,2,452
2001,Visitacion Valley,3,3244
2001,West of Twin Peaks,2,584
2001,West of Twin Peaks,3,4298
2001,Western Addition,2,1139
2001,Western Addition,3,7103
2002,Bayview Hunters Point,2,1402
2002,Bayview Hunters Point,3,12679
2002,Bernal Heights,2,487
2002,Bernal Heights,3,4632
2002,Castro/Upper Market,2,663
2002,Castro/Upper Market,3,4194
2002,Chinatown,2,551
2002,Chinatown,3,4500
2002,Excelsior,2,462
2002,Excelsior,3,4298
2002,Financial District/South Beach,2,1780
2002,Financial District/South Beach,3,14227
2002,Glen Park,2,122
2002,Glen Park,3,988
2002,Golden Gate Park,2,170
2002,Golden Gate Park,3,940
2002,Haight Ashbury,2,412
2002,Haight Ashbury,3,2625
2002,Hayes Valley,2,653
2002,Hayes Valley,3,4554
2002,Inner Richmond,2,403
2002,Inner Richmond,3,3109
2002,Inner Sunset,2,337
2002,Inner Sunset,3,3341
2002,Japantown,2,223
2002,Japantown,3,1895
2002,Lakeshore,2,317
2002,Lakeshore,3,2592
2002,Lincoln Park,2,6
2002,Lincoln Park,3,244
2002,Lone Mountain/USF,2,267
2002,Lone Mountain/USF,3,2583
2002,Marina,2,427
2002,Marina,3,3738
2002,McLaren Park,2,21
2002,McLaren Park,3,248
2002,Mission,2,2848
2002,Mission,3,18244
2002,Mission Bay,2,170
2002,Mission Bay,3,1459
2002,Nob Hill,2,843
2002,Nob Hill,3,6134
2002,Noe Valley,2,224
2002,Noe Valley,3,2362
2002,North Beach,2,522
2002,North Beach,3,3789
2002,Oceanview/Merced/Ingleside,2,373
2002,Oceanview/Merced/Ingleside,3,3678
2002,Outer Mission,2,429
2002,Outer Mission,3,3127
2002,Outer Richmond,2,703
2002,Outer Richmond,3,5739
2002,Pacific Heights,2,387
2002,Pacific Heights,3,4223
2002,Portola,2,264
2002,Portola,3,2105
2002,Potrero Hill,2,421
2002,Potrero Hill,3,4330
2002,Presidio,2,16
2002,Presidio,3,175
2002,Presidio Heights,2,186
2002,Presidio Heights,3,1957
2002,Russian Hill,2,362
2002,Russian Hill,3,3129
2002,Seacliff,2,39
2002,Seacliff,3,325
2002,South of Market,2,3215
2002,South of Market,3,16221
2002,Sunset/Parkside,2,1134
2002,Sunset/Parkside,3,8872
2002,Tenderloin,2,4732
2002,Tenderloin,3,21453
2002,Treasure Island,2,144
2002,Treasure Island,3,1084
2002,Twin Peaks,2,95
2002,Twin Peaks,3,1086
2002,Visitacion Valley,2,444
2002,Visitacion Valley,3,3051
2002,West of Twin Peaks,2,581
2002,West of Twin Peaks,3,5293
2002,Western Addition,2,1058
2002,Western Addition,3,7516
2003,Bayview Hunters Point,2,1165
2003,Bayview Hunters Point,3,12465
2003,Bernal Heights,2,386
2003,Bernal Heights,3,5343
2003,Castro/Upper Market,2,479
2003,Castro/Upper Market,3,4640
2003,Chinatown,2,482
2003,Chinatown,3,5308
2003,Excelsior,2,417
2003,Excelsior,3,4173
2003,Financial District/South Beach,2,1403
2003,Financial District/South Beach,3,15561
2003,Glen Park,2,107
2003,Glen Park,3,1072
2003,Golden Gate Park,2,135
2003,Golden Gate Park,3,1248
2003,Haight Ashbury,2,372
2003,Haight Ashbury,3,3680
2003,Hayes Valley,2,569
2003,Hayes Valley,3,5300
2003,Inner Richmond,2,387
2003,Inner Richmond,3,3920
2003,Inner Sunset,2,297
2003,Inner Sunset,3,4006
2003,Japantown,2,180
2003,Japantown,3,1959
2003,Lakeshore,2,331
2003,Lakeshore,3,2695
2003,Lincoln Park,2,17
2003,Lincoln Park,3,299
2003,Lone Mountain/USF,2,263
2003,Lone Mountain/USF,3,2755
2003,Marina,2,357
2003,Marina,3,4359
2003,McLaren Park,2,23
2003,McLaren Park,3,309
2003,Mission,2,2204
2003,Mission,3,19335
2003,Mission Bay,2,112
2003,Mission Bay,3,1374
2003,Nob Hill,2,739
2003,Nob Hill,3,6980
2003,Noe Valley,2,228
2003,Noe Valley,3,2531
2003,North Beach,2,456
2003,North Beach,3,4700
2003,Oceanview/Merced/Ingleside,2,324
2003,Oceanview/Merced/Ingleside,3,3920
2003,Outer Mission,2,426
2003,Outer Mission,3,3021
2003,Outer Richmond,2,703
2003,Outer Richmond,3,6013
2003,Pacific Heights,2,364
2003,Pacific Heights,3,4968
2003,Portola,2,210
2003,Portola,3,2227
2003,Potrero Hill,2,393
2003,Potrero Hill,3,4570
2003,Presidio,2,27
2003,Presidio,3,210
2003,Presidio Heights,2,185
2003,Presidio Heights,3,2144
2003,Russian Hill,2,365
2003,Russian Hill,3,3672
2003,Seacliff,2,31
2003,Seacliff,3,397
2003,South of Market,2,2255
2003,South of Market,3,16909
2003,Sunset/Parkside,2,1000
2003,Sunset/Parkside,3,9712
2003,Tenderloin,2,3462
2003,Tenderloin,3,23912
2003,Treasure Island,2,174
2003,Treasure Island,3,1276
2003,Twin Peaks,2,98
2003,Twin Peaks,3,1391
2003,Visitacion Valley,2,312
2003,Visitacion Valley,3,3118
2003,West of Twin Peaks,2,516
2003,West of Twin Peaks,3,5475
2003,Western Addition,2,896
2003,Western Addition,3,9030
2004,Bayview Hunters Point,2,1294
2004,Bayview Hunters Point,3,12034
2004,Bernal Heights,2,468
2004,Bernal Heights,3,5116
2004,Castro/Upper Market,2,500
2004,Castro/Upper Market,3,4487
2004,Chinatown,2,531
2004,Chinatown,3,4712
2004,Excelsior,2,474
2004,Excelsior,3,3988
2004,Financial District/South Beach,2,1525
2004,Financial District/South Beach,3,14167
2004,Glen Park,2,125
2004,Glen Park,3,1117
2004,Golden Gate Park,2,165
2004,Golden Gate Park,3,1155
2004,Haight Ashbury,2,385
2004,Haight Ashbury,3,3151
2004,Hayes Valley,2,587
2004,Hayes Valley,3,5351
2004,Inner Richmond,2,423
2004,Inner Richmond,3,3635
2004,Inner Sunset,2,357
2004,Inner Sunset,3,3728
2004,Japantown,2,211
2004,Japantown,3,1991
2004,Lakeshore,2,361
2004,Lakeshore,3,2748
2004,Lincoln Park,2,13
2004,Lincoln Park,3,277
2004,Lone Mountain/USF,2,286
2004,Lone Mountain/USF,3,2782
2004,Marina,2,439
2004,Marina,3,3807
2004,McLaren Park,2,18
2004,McLaren Park,3,247
2004,Mission,2,2501
2004,Mission,3,18556
2004,Mission Bay,2,125
2004,Mission Bay,3,1536
2004,Nob Hill,2,728
2004,Nob Hill,3,7467
2004,Noe Valley,2,222
2004,Noe Valley,3,2402
2004,North Beach,2,491
2004,North Beach,3,4582
2004,Oceanview/Merced/Ingleside,2,368
2004,Oceanview/Merced/Ingleside,3,3867
2004,Outer Mission,2,454
2004,Outer Mission,3,2963
2004,Outer Richmond,2,668
2004,Outer Richmond,3,6412
2004,Pacific Heights,2,422
2004,Pacific Heights,3,4778
2004,Portola,2,268
2004,Portola,3,1983
2004,Potrero Hill,2,426
2004,Potrero Hill,3,4413
2004,Presidio,2,59
2004,Presidio,3,373
2004,Presidio Heights,2,252
2004,Presidio Heights,3,1914
2004,Russian Hill,2,327
2004,Russian Hill,3,3541
2004,Seacliff,2,28
2004,Seacliff,3,371
2004,South of Market,2,2275
2004,South of Market,3,15958
2004,Sunset/Parkside,2,1207
2004,Sunset/Parkside,3,9086
2004,Tenderloin,2,3676
2004,Tenderloin,3,24689
2004,Treasure Island,2,148
2004,Treasure Island,3,1080
2004,Twin Peaks,2,134
2004,Twin Peaks,3,1424
2004,Visitacion Valley,2,342
2004,Visitacion Valley,3,2976
2004,West of Twin Peaks,2,547
2004,West of Twin Peaks,3,5187
2004,Western Addition,2,1019
2004,Western Addition,3,8861
2005,Bayview Hunters Point,2,1655
2005,Bayview Hunters Point,3,11248
2005,Bernal Heights,2,627
2005,Bernal Heights,3,4801
2005,Castro/Upper Market,2,740
2005,Castro/Upper Market,3,4587
2005,Chinatown,2,646
2005,Chinatown,3,4605
2005,Excelsior,2,608
2005,Excelsior,3,3851
2005,Financial District/South Beach,2,1991
2005,Financial District/South Beach,3,12936
2005,Glen Park,2,134
2005,Glen Park,3,1059
2005,Golden Gate Park,2,293
2005,Golden Gate Park,3,1124
2005,Haight Ashbury,2,456
2005,Haight Ashbury,3,3059
2005,Hayes Valley,2,737
2005,Hayes Valley,3,4940
2005,Inner Richmond,2,530
2005,Inner Richmond,3,3087
2005,Inner Sunset,2,466
2005,Inner Sunset,3,3694
2005,Japantown,2,299
2005,Japantown,3,1715
2005,Lakeshore,2,586
2005,Lakeshore,3,2609
2005,Lincoln Park,2,15
2005,Lincoln Park,3,186
2005,Lone Mountain/USF,2,408
2005,Lone Mountain/USF,3,2330
2005,Marina,2,687
2005,Marina,3,3849
2005,McLaren Park,2,22
2005,McLaren Park,3,214
2005,Mission,2,3447
2005,Mission,3,17767
2005,Mission Bay,2,191
2005,Mission Bay,3,1636
2005,Nob Hill,2,983
2005,Nob Hill,3,6323
2005,Noe Valley,2,330
2005,Noe Valley,3,2489
2005,North Beach,2,694
2005,North Beach,3,4157
2005,Oceanview/Merced/Ingleside,2,547
2005,Oceanview/Merced/Ingleside,3,2934
2005,Outer Mission,2,591
2005,Outer Mission,3,2896
2005,Outer Richmond,2,964
2005,Outer Richmond,3,5691
2005,Pacific Heights,2,564
2005,Pacific Heights,3,4547
2005,Portola,2,367
2005,Portola,3,1876
2005,Potrero Hill,2,487
2005,Potrero Hill,3,4040
2005,Presidio,2,100
2005,Presidio,3,457
2005,Presidio Heights,2,309
2005,Presidio Heights,3,2127
2005,Russian Hill,2,477
2005,Russian Hill,3,2978
2005,Seacliff,2,34
2005,Seacliff,3,333
2005,South of Market,2,3138
2005,South of Market,3,15374
2005,Sunset/Parkside,2,1537
2005,Sunset/Parkside,3,8504
2005,Tenderloin,2,4940
2005,Tenderloin,3,25238
2005,Treasure Island,2,304
2005,Treasure Island,3,1138
2005,Twin Peaks,2,174
2005,Twin Peaks,3,1275
2005,Visitacion Valley,2,372
2005,Visitacion Valley,3,2659
2005,West of Twin Peaks,2,875
2005,West of Twin Peaks,3,5127
2005,Western Addition,2,1292
2005,Western Addition,3,8250
2006,Bayview Hunters Point,2,1716
2006,Bayview Hunters Point,3,11604
2006,Bernal Heights,2,736
2006,Bernal Heights,3,4602
2006,Castro/Upper Market,2,855
2006,Castro/Upper Market,3,4190
2006,Chinatown,2,762
2006,Chinatown,3,4728
2006,Excelsior,2,678
2006,Excelsior,3,4185
2006,Financial District/South Beach,2,2196
2006,Financial District/South Beach,3,12469
2006,Glen Park,2,139
2006,Glen Park,3,1214
2006,Golden Gate Park,2,259
2006,Golden Gate Park,3,1122
2006,Haight Ashbury,2,480
2006,Haight Ashbury,3,3050
2006,Hayes Valley,2,889
2006,Hayes Valley,3,4851
2006,Inner Richmond,2,510
2006,Inner Richmond,3,3126
2006,Inner Sunset,2,509
2006,Inner Sunset,3,3636
2006,Japantown,2,301
2006,Japantown,3,1859
2006,Lakeshore,2,595
2006,Lakeshore,3,2741
2006,Lincoln Park,2,21
2006,Lincoln Park,3,194
2006,Lone Mountain/USF,2,427
2006,Lone Mountain/USF,3,2387
2006,Marina,2,631
2006,Marina,3,3894
2006,McLaren Park,2,21
2006,McLaren Park,3,258
2006,Mission,2,3444
2006,Mission,3,17453
2006,Mission Bay,2,242
2006,Mission Bay,3,1722
2006,Nob Hill,2,1142
2006,Nob Hill,3,6771
2006,Noe Valley,2,322
2006,Noe Valley,3,2354
2006,North Beach,2,674
2006,North Beach,3,4097
2006,Oceanview/Merced/Ingleside,2,590
2006,Oceanview/Merced/Ingleside,3,3160
2006,Outer Mission,2,620
2006,Outer Mission,3,3357
2006,Outer Richmond,2,946
2006,Outer Richmond,3,5204
2006,Pacific Heights,2,598
2006,Pacific Heights,3,4293
2006,Portola,2,342
2006,Portola,3,1797
2006,Potrero Hill,2,499
2006,Potrero Hill,3,3664
2006,Presidio,2,115
2006,Presidio,3,532
2006,Presidio Heights,2,288
2006,Presidio Heights,3,1893
2006,Russian Hill,2,474
2006,Russian Hill,3,2988
2006,Seacliff,2,51
2006,Seacliff,3,346
2006,South of Market,2,3533
2006,South of Market,3,16824
2006,Sunset/Parkside,2,1539
2006,Sunset/Parkside,3,8620
2006,Tenderloin,2,5259
2006,Tenderloin,3,24676
2006,Treasure Island,2,334
2006,Treasure Island,3,1236
2006,Twin Peaks,2,202
2006,Twin Peaks,3,1490
2006,Visitacion Valley,2,404
2006,Visitacion Valley,3,2884
2006,West of Twin Peaks,2,809
2006,West of Twin Peaks,3,4917
2006,Western Addition,2,1395
2006,Western Addition,3,7020
2007,Bayview Hunters Point,2,1656
2007,Bayview Hunters Point,3,11326
2007,Bernal Heights,2,694
2007,Bernal Heights,3,4406
2007,Castro/Upper Market,2,862
2007,Castro/Upper Market,3,4484
2007,Chinatown,2,734
2007,Chinatown,3,4494
2007,Excelsior,2,707
2007,Excelsior,3,4550
2007,Financial District/South Beach,2,2054
2007,Financial District/South Beach,3,12881
2007,Glen Park,2,141
2007,Glen Park,3,1064
2007,Golden Gate Park,2,286
2007,Golden Gate Park,3,1028
2007,Haight Ashbury,2,502
2007,Haight Ashbury,3,2765
2007,Hayes Valley,2,886
2007,Hayes Valley,3,4627
2007,Inner Richmond,2,513
2007,Inner Richmond,3,2911
2007,Inner Sunset,2,472
2007,Inner Sunset,3,3565
2007,Japantown,2,372
2007,Japantown,3,1779
2007,Lakeshore,2,499
2007,Lakeshore,3,2844
2007,Lincoln Park,2,16
2007,Lincoln Park,3,150
2007,Lone Mountain/USF,2,403
2007,Lone Mountain/USF,3,2167
2007,Marina,2,623
2007,Marina,3,3817
2007,McLaren Park,2,25
2007,McLaren Park,3,235
2007,Mission,2,3693
2007,Mission,3,16653
2007,Mission Bay,2,307
2007,Mission Bay,3,1856
2007,Nob Hill,2,1049
2007,Nob Hill,3,6365
2007,Noe Valley,2,320
2007,Noe Valley,3,2251
2007,North Beach,2,735
2007,North Beach,3,4020
2007,Oceanview/Merced/Ingleside,2,564
2007,Oceanview/Merced/Ingleside,3,2861
2007,Outer Mission,2,653
2007,Outer Mission,3,3465
2007,Outer Richmond,2,940
2007,Outer Richmond,3,5707
2007,Pacific Heights,2,546
2007,Pacific Heights,3,4317
2007,Portola,2,273
2007,Portola,3,1875
2007,Potrero Hill,2,501
2007,Potrero Hill,3,3790
2007,Presidio,2,173
2007,Presidio,3,530
2007,Presidio Heights,2,257
2007,Presidio Heights,3,2115
2007,Russian Hill,2,523
2007,Russian Hill,3,2931
2007,Seacliff,2,42
2007,Seacliff,3,462
2007,South of Market,2,3770
2007,South of Market,3,17863
2007,Sunset/Parkside,2,1434
2007,Sunset/Parkside,3,7458
2007,Tenderloin,2,5607
2007,Tenderloin,3,25719
2007,Treasure Island,2,310
2007,Treasure Island,3,1334
2007,Twin Peaks,2,144
2007,Twin Peaks,3,1602
2007,Visitacion Valley,2,477
2007,Visitacion Valley,3,3061
2007,West of Twin Peaks,2,795
2007,West of Twin Peaks,3,4654
2007,Western Addition,2,1311
2007,Western Addition,3,6911
2008,Bayview Hunters Point,2,1871
2008,Bayview Hunters Point,3,11083
2008,Bernal Heights,2,840
2008,Bernal Heights,3,4201
2008,Castro/Upper Market,2,907
2008,Castro/Upper Market,3,5126
2008,Chinatown,2,904
2008,Chinatown,3,4176
2008,Excelsior,2,774
2008,Excelsior,3,4396
2008,Financial District/South Beach,2,2332
2008,Financial District/South Beach,3,13405
2008,Glen Park,2,186
2008,Glen Park,3,860
2008,Golden Gate Park,2,345
2008,Golden Gate Park,3,1095
2008,Haight Ashbury,2,605
2008,Haight Ashbury,3,3004
2008,Hayes Valley,2,957
2008,Hayes Valley,3,4873
2008,Inner Richmond,2,626
2008,Inner Richmond,3,2746
2008,Inner Sunset,2,514
2008,Inner Sunset,3,3313
2008,Japantown,2,366
2008,Japantown,3,1835
2008,Lakeshore,2,661
2008,Lakeshore,3,3252
2008,Lincoln Park,2,28
2008,Lincoln Park,3,209
2008,Lone Mountain/USF,2,450
2008,Lone Mountain/USF,3,2455
2008,Marina,2,732
2008,Marina,3,3886
2008,McLaren Park,2,32
2008,McLaren Park,3,292
2008,Mission,2,4199
2008,Mission,3,18410
2008,Mission Bay,2,389
2008,Mission Bay,3,1947
2008,Nob Hill,2,1177
2008,Nob Hill,3,7217
2008,Noe Valley,2,449
2008,Noe Valley,3,2404
2008,North Beach,2,912
2008,North Beach,3,4002
2008,Oceanview/Merced/Ingleside,2,548
2008,Oceanview/Merced/Ingleside,3,2891
2008,Outer Mission,2,705
2008,Outer Mission,3,3002
2008,Outer Richmond,2,1307
2008,Outer Richmond,3,5818
2008,Pacific Heights,2,684
2008,Pacific Heights,3,4254
2008,Portola,2,447
2008,Portola,3,1956
2008,Potrero Hill,2,590
2008,Potrero Hill,3,3910
2008,Presidio,2,194
2008,Presidio,3,689
2008,Presidio Heights,2,329
2008,Presidio Heights,3,2027
2008,Russian Hill,2,630
2008,Russian Hill,3,3266
2008,Seacliff,2,61
2008,Seacliff,3,384
2008,South of Market,2,3993
2008,South of Market,3,19600
2008,Sunset/Parkside,2,1631
2008,Sunset/Parkside,3,7944
2008,Tenderloin,2,5580
2008,Tenderloin,3,28045
2008,Treasure Island,2,356
2008,Treasure Island,3,1277
2008,Twin Peaks,2,195
2008,Twin Peaks,3,1442
2008,Visitacion Valley,2,524
2008,Visitacion Valley,3,2876
2008,West of Twin Peaks,2,871
2008,West of Twin Peaks,3,4596
2008,Western Addition,2,1556
2008,Western Addition,3,7875
2009,Bayview Hunters Point,2,2151
2009,Bayview Hunters Point,3,10401
2009,Bernal Heights,2,829
2009,Bernal Heights,3,3565
2009,Castro/Upper Market,2,1011
2009,Castro/Upper Market,3,4846
2009,Chinatown,2,921
2009,Chinatown,3,4618
2009,Excelsior,2,822
2009,Excelsior,3,4243
2009,Financial District/South Beach,2,2521
2009,Financial District/South Beach,3,12659
2009,Glen Park,2,194
2009,Glen Park,3,948
2009,Golden Gate Park,2,399
2009,Golden Gate Park,3,1283
2009,Haight Ashbury,2,598
2009,Haight Ashbury,3,3423
2009,Hayes Valley,2,968
2009,Hayes Valley,3,4789
2009,Inner Richmond,2,573
2009,Inner Richmond,3,2697
2009,Inner Sunset,2,561
2009,Inner Sunset,3,3347
2009,Japantown,2,354
2009,Japantown,3,1710
2009,Lakeshore,2,650
2009,Lakeshore,3,2821
2009,Lincoln Park,2,29
2009,Lincoln Park,3,194
2009,Lone Mountain/USF,2,440
2009,Lone Mountain/USF,3,2383
2009,Marina,2,700
2009,Marina,3,3854
2009,McLaren Park,2,41
2009,McLaren Park,3,253
2009,Mission,2,4442
2009,Mission,3,17781
2009,Mission Bay,2,405
2009,Mission Bay,3,2155
2009,Nob Hill,2,1327
2009,Nob Hill,3,6784
2009,Noe Valley,2,382
2009,Noe Valley,3,2461
2009,North Beach,2,1006
2009,North Beach,3,4246
2009,Oceanview/Merced/Ingleside,2,529
2009,Oceanview/Merced/Ingleside,3,2891
2009,Outer Mission,2,735
2009,Outer Mission,3,2932
2009,Outer Richmond,2,1185
2009,Outer Richmond,3,5338
2009,Pacific Heights,2,703
2009,Pacific Heights,3,4223
2009,Portola,2,499
2009,Portola,3,1976
2009,Potrero Hill,2,608
2009,Potrero Hill,3,3599
2009,Presidio,2,194
2009,Presidio,3,745
2009,Presidio Heights,2,396
2009,Presidio Heights,3,1959
2009,Russian Hill,2,655
2009,Russian Hill,3,3118
2009,Seacliff,2,53
2009,Seacliff,3,362
2009,South of Market,2,4727
2009,South of Market,3,19870
2009,Sunset/Parkside,2,1876
2009,Sunset/Parkside,3,7532
2009,Tenderloin,2,5947
2009,Tenderloin,3,26349
2009,Treasure Island,2,361
2009,Treasure Island,3,1185
2009,Twin Peaks,2,182
2009,Twin Peaks,3,1052
2009,Visitacion Valley,2,535
2009,Visitacion Valley,3,2726
2009,West of Twin Peaks,2,943
2009,West of Twin Peaks,3,4171
2009,Western Addition,2,1521
2009,Western Addition,3,7697
2010,Bayview Hunters Point,2,2237
2010,Bayview Hunters Point,3,10964
2010,Bernal Heights,2,915
2010,Bernal Heights,3,3719
2010,Castro/Upper Market,2,1121
2010,Castro/Upper Market,3,4928
2010,Chinatown,2,959
2010,Chinatown,3,4313
2010,Excelsior,2,944
2010,Excelsior,3,4387
2010,Financial District/South Beach,2,2563
2010,Financial District/South Beach,3,12694
2010,Glen Park,2,244
2010,Glen Park,3,1008
2010,Golden Gate Park,2,422
2010,Golden Gate Park,3,1228
2010,Haight Ashbury,2,605
2010,Haight Ashbury,3,2929
2010,Hayes Valley,2,1146
2010,Hayes Valley,3,4862
2010,Inner Richmond,2,681
2010,Inner Richmond,3,2716
2010,Inner Sunset,2,607
2010,Inner Sunset,3,3369
2010,Japantown,2,530
2010,Japantown,3,1896
2010,Lakeshore,2,789
2010,Lakeshore,3,3070
2010,Lincoln Park,2,30
2010,Lincoln Park,3,175
2010,Lone Mountain/USF,2,470
2010,Lone Mountain/USF,3,2377
2010,Marina,2,812
2010,Marina,3,3972
2010,McLaren Park,2,62
2010,McLaren Park,3,321
2010,Mission,2,4656
2010,Mission,3,19155
2010,Mission Bay,2,593
2010,Mission Bay,3,2431
2010,Nob Hill,2,1410
2010,Nob Hill,3,7615
2010,Noe Valley,2,416
2010,Noe Valley,3,2089
